date,PPIITM,PPICRM,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAS,CPIULFSL,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,IPMAN,MCUMFN,TCU,M0684AUSM343SNBR,M0504AUSM343SNBR,GDPC1,AMBSL,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,MZMSL,DTCOLNVHFNM,DTCTHFNM,INVEST,FEDFUNDS,CP3M,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,TWEXMMTH,EXSZUS,EXJPUS,EXUSUK,EXCAUS,PPIFGS,PPIFCG,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,CES0600000008,CES2000000008,CES3000000008,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,DPCERA3M086SBEA,CMRMTSPL,RETAIL,ACOGNO,ANDENO,AMDMUO,M1SL,M2SL,M3SL,M2REAL,RPI,W875RX1,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,PAYEMS,USGOOD,CES1021000001,USCONS
1919-07-01,,,,,,,,,,,,,,,,,,,,,,0.0028845964309709426,,,,,,,,,,,,,,,,,0.040000000000000036,0.019999999999999574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05836132036931585,,,,,,,,,,0.05460230022821144,,,,,,,,,,,,,,,
1919-08-01,,,,,,,,,,,,,,,,,,,,,,-0.020774644044003976,,,,,,,,,,,,,,,,,0.11999999999999922,0.07000000000000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015353160502565855,,,,,,,,,,0.023870069130827787,,,,,,,,,,,,,,,
1919-09-01,,,,,,,,,,,,,,,,,,,,,,-0.032367507685163055,,,,,,,,,,,,,,,,,0.040000000000000036,0.13999999999999968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0205237133910674,,,,,,,,,,-0.038466643003800094,,,,,,,,,,,,,,,
1919-10-01,,,,,,,,,,,,,,,,,,,,,,-0.018906348209502877,,,,,,,,,,,,,,,,,-0.05999999999999961,0.07000000000000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.010402534602368396,,,,,,,,,,-0.01981260891847758,,,,,,,,,,,,,,,
1919-11-01,,,,,,,,,,,,,,,,,,,,,,0.01713456251040757,,,,,,,,,,,,,,,,,0.1200000000000001,0.20000000000000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.015839233603169633,,,,,,,,,,0.03440918279144989,,,,,,,,,,,,,,,
1919-12-01,,,,,,,,,,,,,,,,,,,,,,-0.0025031060087805646,,,,,,,,,,,,,,,,,0.07000000000000028,0.22999999999999954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015839233603169633,,,,,,,,,,-0.019522692209028136,,,,,,,,,,,,,,,
1920-01-01,,,,,,,,,,,,,,,,,,,,,,0.015775946540618646,,,,,,,,,,,,,,,,,0.019999999999999574,0.010000000000000675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09004936385433737,,,,,,,,,,0.09844429251885578,,,,,,,,,,,,,,,
1920-02-01,,,,,,,,,,,,,,,,,,,,,,0.025883883296127674,,,,,,,,,,,,,,,,,0.11000000000000032,0.16000000000000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,
1920-03-01,,,,,,,,,,,,,,,,,,,,,,0.011765281991606313,,,,,,,,,,,,,,,,,0.05999999999999961,0.02999999999999936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.019315852405005884,,,,,,,,,,-0.02257695625580003,,,,,,,,,,,,,,,
1920-04-01,,,,,,,,,,,,,,,,,,,,,,-0.010346992134781408,,,,,,,,,,,,,,,,,0.1200000000000001,0.20000000000000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.055160423958461546,,,,,,,,,,-0.0611992066276561,,,,,,,,,,,,,,,
