,score,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/activation,config/hidden,config/lr,logdir
86,0.017700333148241,0.3046600818634033,False,930,6e25a_00086,2023-05-13_14-29-15,1683980955,309.42673206329346,4047,Julians-MBP,127.0.0.1,309.42673206329346,930,Sigmoid,4,0.005,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00086_86_activation=Sigmoid,hidden=4,lr=0.0050_2023-05-13_14-24-05"
34,0.0191636644303798,0.2936708927154541,False,930,6e25a_00034,2023-05-13_13-19-35,1683976775,309.3416790962219,4049,Julians-MBP,127.0.0.1,309.3416790962219,930,Sigmoid,3,0.0005,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00034_34_activation=Sigmoid,hidden=3,lr=0.0005_2023-05-13_13-14-26"
62,0.0213677771389484,0.2873411178588867,False,930,6e25a_00062,2023-05-13_14-01-25,1683979285,317.21287393569946,4049,Julians-MBP,127.0.0.1,317.21287393569946,930,Sigmoid,4,0.001,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00062_62_activation=Sigmoid,hidden=4,lr=0.0010_2023-05-13_13-56-08"
38,0.0220126174390316,0.3432247638702392,False,930,6e25a_00038,2023-05-13_13-25-23,1683977123,360.1459758281708,4047,Julians-MBP,127.0.0.1,360.1459758281708,930,Sigmoid,4,0.0005,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00038_38_activation=Sigmoid,hidden=4,lr=0.0005_2023-05-13_13-19-23"
10,0.0225390866398811,0.2835781574249267,False,930,6e25a_00010,2023-05-13_12-45-59,1683974759,276.2618863582611,4049,Julians-MBP,127.0.0.1,276.2618863582611,930,Sigmoid,3,0.0001,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00010_10_activation=Sigmoid,hidden=3,lr=0.0001_2023-05-13_12-41-23"
14,0.024822549894452,0.3891067504882812,False,930,6e25a_00014,2023-05-13_12-52-15,1683975135,375.2863306999207,4049,Julians-MBP,127.0.0.1,375.2863306999207,930,Sigmoid,4,0.0001,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00014_14_activation=Sigmoid,hidden=4,lr=0.0001_2023-05-13_12-45-59"
143,0.0281331948935985,0.2462861537933349,False,930,6e25a_00143,2023-05-13_15-42-09,1683985329,322.3024492263794,4047,Julians-MBP,127.0.0.1,322.3024492263794,930,ReLU,6,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00143_143_activation=ReLU,hidden=6,lr=0.0500_2023-05-13_15-36-46"
142,0.0281514748930931,0.1980369091033935,False,930,6e25a_00142,2023-05-13_15-42-17,1683985337,351.28643584251404,4049,Julians-MBP,127.0.0.1,351.28643584251404,930,Sigmoid,6,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00142_142_activation=Sigmoid,hidden=6,lr=0.0500_2023-05-13_15-36-26"
114,0.0281991809606552,0.3428668975830078,False,930,6e25a_00114,2023-05-13_15-04-57,1683983097,356.55034279823303,4047,Julians-MBP,127.0.0.1,356.55034279823303,930,Sigmoid,5,0.01,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00114_114_activation=Sigmoid,hidden=5,lr=0.0100_2023-05-13_14-59-00"
127,0.0282254125922918,0.2361109256744384,False,930,6e25a_00127,2023-05-13_15-19-35,1683983975,251.88560009002688,4048,Julians-MBP,127.0.0.1,251.88560009002688,930,ReLU,2,0.05,"/Users/julianvanmeggelen/ray_results/lambda_2023-05-13_12-32-15/lambda_6e25a_00127_127_activation=ReLU,hidden=2,lr=0.0500_2023-05-13_15-15-23"
